DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,June,Ireland,2023,4575,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,June,Ireland,2024,3964,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2015,5968,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2016,5450,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2017,5324,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2018,5291,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2019,5237,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2020,5049,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2021,5300,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2022,4681,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,July,Ireland,2023,4734,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2015,5466,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2016,5372,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2017,5384,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2018,5193,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2019,5274,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2020,4786,,
