"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Croatia","18-59",2027-08-30,2028-08-27,125,"2027/2028"
"Croatia","3-5mo",2027-08-30,2028-08-27,317,"2027/2028"
"Croatia","5-17",2027-08-30,2028-08-27,33,"2027/2028"
"Croatia","6-11mo",2027-08-30,2028-08-27,316,"2027/2028"
"Croatia","60-64",2027-08-30,2028-08-27,76,"2027/2028"
"Croatia","65-69",2027-08-30,2028-08-27,139,"2027/2028"
"Croatia","70-74",2027-08-30,2028-08-27,190,"2027/2028"
"Croatia","75-79",2027-08-30,2028-08-27,228,"2027/2028"
"Croatia","80+",2027-08-30,2028-08-27,609,"2027/2028"
"Cyprus","0-2mo",2026-08-31,2027-08-29,188,"2026/2027"
"Cyprus","1-4",2026-08-31,2027-08-29,127,"2026/2027"
"Cyprus","18-59",2026-08-31,2027-08-29,49,"2026/2027"
"Cyprus","3-5mo",2026-08-31,2027-08-29,103,"2026/2027"
"Cyprus","5-17",2026-08-31,2027-08-29,9,"2026/2027"
"Cyprus","6-11mo",2026-08-31,2027-08-29,91,"2026/2027"
"Cyprus","60-64",2026-08-31,2027-08-29,20,"2026/2027"
"Cyprus","65-69",2026-08-31,2027-08-29,26,"2026/2027"
"Cyprus","70-74",2026-08-31,2027-08-29,39,"2026/2027"
"Cyprus","75-79",2026-08-31,2027-08-29,70,"2026/2027"
"Cyprus","80+",2026-08-31,2027-08-29,141,"2026/2027"
"Cyprus","0-2mo",2027-08-30,2028-08-27,188,"2027/2028"
"Cyprus","1-4",2027-08-30,2028-08-27,127,"2027/2028"
"Cyprus","18-59",2027-08-30,2028-08-27,49,"2027/2028"
"Cyprus","3-5mo",2027-08-30,2028-08-27,103,"2027/2028"
"Cyprus","5-17",2027-08-30,2028-08-27,9,"2027/2028"
"Cyprus","6-11mo",2027-08-30,2028-08-27,91,"2027/2028"
"Cyprus","60-64",2027-08-30,2028-08-27,20,"2027/2028"
"Cyprus","65-69",2027-08-30,2028-08-27,26,"2027/2028"
"Cyprus","70-74",2027-08-30,2028-08-27,39,"2027/2028"
