"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Malta","18-59",2026-08-31,2027-08-29,21,"2026/2027"
"Malta","3-5mo",2026-08-31,2027-08-29,33,"2026/2027"
"Malta","5-17",2026-08-31,2027-08-29,7,"2026/2027"
"Malta","6-11mo",2026-08-31,2027-08-29,46,"2026/2027"
"Malta","60-64",2026-08-31,2027-08-29,6,"2026/2027"
"Malta","65-69",2026-08-31,2027-08-29,16,"2026/2027"
"Malta","70-74",2026-08-31,2027-08-29,25,"2026/2027"
"Malta","75-79",2026-08-31,2027-08-29,25,"2026/2027"
"Malta","80+",2026-08-31,2027-08-29,87,"2026/2027"
"Malta","0-2mo",2027-08-30,2028-08-27,69,"2027/2028"
"Malta","1-4",2027-08-30,2028-08-27,50,"2027/2028"
"Malta","18-59",2027-08-30,2028-08-27,21,"2027/2028"
"Malta","3-5mo",2027-08-30,2028-08-27,33,"2027/2028"
"Malta","5-17",2027-08-30,2028-08-27,7,"2027/2028"
"Malta","6-11mo",2027-08-30,2028-08-27,46,"2027/2028"
"Malta","60-64",2027-08-30,2028-08-27,6,"2027/2028"
"Malta","65-69",2027-08-30,2028-08-27,16,"2027/2028"
"Malta","70-74",2027-08-30,2028-08-27,25,"2027/2028"
"Malta","75-79",2027-08-30,2028-08-27,25,"2027/2028"
"Malta","80+",2027-08-30,2028-08-27,87,"2027/2028"
"Netherlands","0-2mo",2026-08-31,2027-08-29,2080,"2026/2027"
"Netherlands","1-4",2026-08-31,2027-08-29,1028,"2026/2027"
"Netherlands","18-59",2026-08-31,2027-08-29,589,"2026/2027"
"Netherlands","3-5mo",2026-08-31,2027-08-29,804,"2026/2027"
"Netherlands","5-17",2026-08-31,2027-08-29,144,"2026/2027"
"Netherlands","6-11mo",2026-08-31,2027-08-29,686,"2026/2027"
"Netherlands","60-64",2026-08-31,2027-08-29,345,"2026/2027"
"Netherlands","65-69",2026-08-31,2027-08-29,503,"2026/2027"
"Netherlands","70-74",2026-08-31,2027-08-29,691,"2026/2027"
"Netherlands","75-79",2026-08-31,2027-08-29,970,"2026/2027"
"Netherlands","80+",2026-08-31,2027-08-29,2431,"2026/2027"
"Netherlands","0-2mo",2027-08-30,2028-08-27,2080,"2027/2028"
"Netherlands","1-4",2027-08-30,2028-08-27,1028,"2027/2028"
"Netherlands","18-59",2027-08-30,2028-08-27,589,"2027/2028"
"Netherlands","3-5mo",2027-08-30,2028-08-27,804,"2027/2028"
"Netherlands","5-17",2027-08-30,2028-08-27,144,"2027/2028"
"Netherlands","6-11mo",2027-08-30,2028-08-27,686,"2027/2028"
"Netherlands","60-64",2027-08-30,2028-08-27,345,"2027/2028"
"Netherlands","65-69",2027-08-30,2028-08-27,503,"2027/2028"
"Netherlands","70-74",2027-08-30,2028-08-27,691,"2027/2028"
"Netherlands","75-79",2027-08-30,2028-08-27,970,"2027/2028"
"Netherlands","80+",2027-08-30,2028-08-27,2431,"2027/2028"
"Norway","0-2mo",2026-08-31,2027-08-29,809,"2026/2027"
"Norway","1-4",2026-08-31,2027-08-29,778,"2026/2027"
"Norway","18-59",2026-08-31,2027-08-29,239,"2026/2027"
"Norway","3-5mo",2026-08-31,2027-08-29,486,"2026/2027"
"Norway","5-17",2026-08-31,2027-08-29,85,"2026/2027"
"Norway","6-11mo",2026-08-31,2027-08-29,382,"2026/2027"
"Norway","60-64",2026-08-31,2027-08-29,130,"2026/2027"
"Norway","65-69",2026-08-31,2027-08-29,188,"2026/2027"
"Norway","70-74",2026-08-31,2027-08-29,293,"2026/2027"
"Norway","75-79",2026-08-31,2027-08-29,371,"2026/2027"
"Norway","80+",2026-08-31,2027-08-29,1052,"2026/2027"
"Norway","0-2mo",2027-08-30,2028-08-27,809,"2027/2028"
"Norway","1-4",2027-08-30,2028-08-27,778,"2027/2028"
"Norway","18-59",2027-08-30,2028-08-27,239,"2027/2028"
"Norway","3-5mo",2027-08-30,2028-08-27,486,"2027/2028"
"Norway","5-17",2027-08-30,2028-08-27,85,"2027/2028"
"Norway","6-11mo",2027-08-30,2028-08-27,382,"2027/2028"
"Norway","60-64",2027-08-30,2028-08-27,130,"2027/2028"
"Norway","65-69",2027-08-30,2028-08-27,188,"2027/2028"
"Norway","70-74",2027-08-30,2028-08-27,293,"2027/2028"
"Norway","75-79",2027-08-30,2028-08-27,371,"2027/2028"
"Norway","80+",2027-08-30,2028-08-27,1052,"2027/2028"
"Poland","0-2mo",2026-08-31,2027-08-29,4531,"2026/2027"
"Poland","1-4",2026-08-31,2027-08-29,3474,"2026/2027"
"Poland","18-59",2026-08-31,2027-08-29,1211,"2026/2027"
"Poland","3-5mo",2026-08-31,2027-08-29,2136,"2026/2027"
"Poland","5-17",2026-08-31,2027-08-29,285,"2026/2027"
"Poland","6-11mo",2026-08-31,2027-08-29,2023,"2026/2027"
"Poland","60-64",2026-08-31,2027-08-29,703,"2026/2027"
"Poland","65-69",2026-08-31,2027-08-29,1307,"2026/2027"
"Poland","70-74",2026-08-31,2027-08-29,1816,"2026/2027"
"Poland","75-79",2026-08-31,2027-08-29,2027,"2026/2027"
"Poland","80+",2026-08-31,2027-08-29,5745,"2026/2027"
"Poland","0-2mo",2027-08-30,2028-08-27,4531,"2027/2028"
"Poland","1-4",2027-08-30,2028-08-27,3474,"2027/2028"
"Poland","18-59",2027-08-30,2028-08-27,1211,"2027/2028"
"Poland","3-5mo",2027-08-30,2028-08-27,2136,"2027/2028"
"Poland","5-17",2027-08-30,2028-08-27,285,"2027/2028"
"Poland","6-11mo",2027-08-30,2028-08-27,2023,"2027/2028"
"Poland","60-64",2027-08-30,2028-08-27,703,"2027/2028"
"Poland","65-69",2027-08-30,2028-08-27,1307,"2027/2028"
"Poland","70-74",2027-08-30,2028-08-27,1816,"2027/2028"
"Poland","75-79",2027-08-30,2028-08-27,2027,"2027/2028"
"Poland","80+",2027-08-30,2028-08-27,5745,"2027/2028"
"Portugal","0-2mo",2026-08-31,2027-08-29,1556,"2026/2027"
"Portugal","1-4",2026-08-31,2027-08-29,962,"2026/2027"
"Portugal","18-59",2026-08-31,2027-08-29,333,"2026/2027"
"Portugal","3-5mo",2026-08-31,2027-08-29,649,"2026/2027"
"Portugal","5-17",2026-08-31,2027-08-29,67,"2026/2027"
"Portugal","6-11mo",2026-08-31,2027-08-29,638,"2026/2027"
"Portugal","60-64",2026-08-31,2027-08-29,210,"2026/2027"
"Portugal","65-69",2026-08-31,2027-08-29,297,"2026/2027"
"Portugal","70-74",2026-08-31,2027-08-29,500,"2026/2027"
"Portugal","75-79",2026-08-31,2027-08-29,660,"2026/2027"
"Portugal","80+",2026-08-31,2027-08-29,2485,"2026/2027"
"Portugal","0-2mo",2027-08-30,2028-08-27,1556,"2027/2028"
"Portugal","1-4",2027-08-30,2028-08-27,962,"2027/2028"
"Portugal","18-59",2027-08-30,2028-08-27,333,"2027/2028"
"Portugal","3-5mo",2027-08-30,2028-08-27,649,"2027/2028"
"Portugal","5-17",2027-08-30,2028-08-27,67,"2027/2028"
"Portugal","6-11mo",2027-08-30,2028-08-27,638,"2027/2028"
"Portugal","60-64",2027-08-30,2028-08-27,210,"2027/2028"
"Portugal","65-69",2027-08-30,2028-08-27,297,"2027/2028"
"Portugal","70-74",2027-08-30,2028-08-27,500,"2027/2028"
"Portugal","75-79",2027-08-30,2028-08-27,660,"2027/2028"
"Portugal","80+",2027-08-30,2028-08-27,2485,"2027/2028"
"Romania","0-2mo",2026-08-31,2027-08-29,2606,"2026/2027"
"Romania","1-4",2026-08-31,2027-08-29,1828,"2026/2027"
"Romania","18-59",2026-08-31,2027-08-29,878,"2026/2027"
"Romania","3-5mo",2026-08-31,2027-08-29,1262,"2026/2027"
"Romania","5-17",2026-08-31,2027-08-29,241,"2026/2027"
"Romania","6-11mo",2026-08-31,2027-08-29,1328,"2026/2027"
"Romania","60-64",2026-08-31,2027-08-29,449,"2026/2027"
"Romania","65-69",2026-08-31,2027-08-29,792,"2026/2027"
"Romania","70-74",2026-08-31,2027-08-29,1050,"2026/2027"
"Romania","75-79",2026-08-31,2027-08-29,1143,"2026/2027"
"Romania","80+",2026-08-31,2027-08-29,3296,"2026/2027"
"Romania","0-2mo",2027-08-30,2028-08-27,2606,"2027/2028"
"Romania","1-4",2027-08-30,2028-08-27,1828,"2027/2028"
"Romania","18-59",2027-08-30,2028-08-27,878,"2027/2028"
"Romania","3-5mo",2027-08-30,2028-08-27,1262,"2027/2028"
"Romania","5-17",2027-08-30,2028-08-27,241,"2027/2028"
"Romania","6-11mo",2027-08-30,2028-08-27,1328,"2027/2028"
"Romania","60-64",2027-08-30,2028-08-27,449,"2027/2028"
"Romania","65-69",2027-08-30,2028-08-27,792,"2027/2028"
"Romania","70-74",2027-08-30,2028-08-27,1050,"2027/2028"
"Romania","75-79",2027-08-30,2028-08-27,1143,"2027/2028"
"Romania","80+",2027-08-30,2028-08-27,3296,"2027/2028"
"Slovakia","0-2mo",2026-08-31,2027-08-29,888,"2026/2027"
"Slovakia","1-4",2026-08-31,2027-08-29,622,"2026/2027"
"Slovakia","18-59",2026-08-31,2027-08-29,176,"2026/2027"
"Slovakia","3-5mo",2026-08-31,2027-08-29,447,"2026/2027"
"Slovakia","5-17",2026-08-31,2027-08-29,51,"2026/2027"
"Slovakia","6-11mo",2026-08-31,2027-08-29,461,"2026/2027"
"Slovakia","60-64",2026-08-31,2027-08-29,134,"2026/2027"
"Slovakia","65-69",2026-08-31,2027-08-29,197,"2026/2027"
"Slovakia","70-74",2026-08-31,2027-08-29,292,"2026/2027"
"Slovakia","75-79",2026-08-31,2027-08-29,290,"2026/2027"
"Slovakia","80+",2026-08-31,2027-08-29,743,"2026/2027"
"Slovakia","0-2mo",2027-08-30,2028-08-27,888,"2027/2028"
"Slovakia","1-4",2027-08-30,2028-08-27,622,"2027/2028"
"Slovakia","18-59",2027-08-30,2028-08-27,176,"2027/2028"
"Slovakia","3-5mo",2027-08-30,2028-08-27,447,"2027/2028"
"Slovakia","5-17",2027-08-30,2028-08-27,51,"2027/2028"
"Slovakia","6-11mo",2027-08-30,2028-08-27,461,"2027/2028"
"Slovakia","60-64",2027-08-30,2028-08-27,134,"2027/2028"
"Slovakia","65-69",2027-08-30,2028-08-27,197,"2027/2028"
"Slovakia","70-74",2027-08-30,2028-08-27,292,"2027/2028"
"Slovakia","75-79",2027-08-30,2028-08-27,290,"2027/2028"
"Slovakia","80+",2027-08-30,2028-08-27,743,"2027/2028"
"Slovenia","0-2mo",2026-08-31,2027-08-29,351,"2026/2027"
"Slovenia","1-4",2026-08-31,2027-08-29,220,"2026/2027"
"Slovenia","18-59",2026-08-31,2027-08-29,51,"2026/2027"
"Slovenia","3-5mo",2026-08-31,2027-08-29,168,"2026/2027"
"Slovenia","5-17",2026-08-31,2027-08-29,13,"2026/2027"
"Slovenia","6-11mo",2026-08-31,2027-08-29,162,"2026/2027"
"Slovenia","60-64",2026-08-31,2027-08-29,38,"2026/2027"
"Slovenia","65-69",2026-08-31,2027-08-29,49,"2026/2027"
"Slovenia","70-74",2026-08-31,2027-08-29,88,"2026/2027"
"Slovenia","75-79",2026-08-31,2027-08-29,87,"2026/2027"
"Slovenia","80+",2026-08-31,2027-08-29,319,"2026/2027"
"Slovenia","0-2mo",2027-08-30,2028-08-27,351,"2027/2028"
"Slovenia","1-4",2027-08-30,2028-08-27,220,"2027/2028"
"Slovenia","18-59",2027-08-30,2028-08-27,51,"2027/2028"
"Slovenia","3-5mo",2027-08-30,2028-08-27,168,"2027/2028"
"Slovenia","5-17",2027-08-30,2028-08-27,13,"2027/2028"
"Slovenia","6-11mo",2027-08-30,2028-08-27,162,"2027/2028"
"Slovenia","60-64",2027-08-30,2028-08-27,38,"2027/2028"
"Slovenia","65-69",2027-08-30,2028-08-27,49,"2027/2028"
"Slovenia","70-74",2027-08-30,2028-08-27,88,"2027/2028"
"Slovenia","75-79",2027-08-30,2028-08-27,87,"2027/2028"
"Slovenia","80+",2027-08-30,2028-08-27,319,"2027/2028"
"Spain","0-2mo",2026-08-31,2027-08-29,5444,"2026/2027"
"Spain","1-4",2026-08-31,2027-08-29,2597,"2026/2027"
"Spain","18-59",2026-08-31,2027-08-29,1339,"2026/2027"
"Spain","3-5mo",2026-08-31,2027-08-29,2481,"2026/2027"
"Spain","5-17",2026-08-31,2027-08-29,312,"2026/2027"
"Spain","6-11mo",2026-08-31,2027-08-29,2652,"2026/2027"
"Spain","60-64",2026-08-31,2027-08-29,827,"2026/2027"
"Spain","65-69",2026-08-31,2027-08-29,1102,"2026/2027"
"Spain","70-74",2026-08-31,2027-08-29,1544,"2026/2027"
"Spain","75-79",2026-08-31,2027-08-29,2161,"2026/2027"
"Spain","80+",2026-08-31,2027-08-29,8475,"2026/2027"
"Spain","0-2mo",2027-08-30,2028-08-27,5444,"2027/2028"
"Spain","1-4",2027-08-30,2028-08-27,2597,"2027/2028"
"Spain","18-59",2027-08-30,2028-08-27,1339,"2027/2028"
"Spain","3-5mo",2027-08-30,2028-08-27,2481,"2027/2028"
"Spain","5-17",2027-08-30,2028-08-27,312,"2027/2028"
"Spain","6-11mo",2027-08-30,2028-08-27,2652,"2027/2028"
"Spain","60-64",2027-08-30,2028-08-27,827,"2027/2028"
"Spain","65-69",2027-08-30,2028-08-27,1102,"2027/2028"
"Spain","70-74",2027-08-30,2028-08-27,1544,"2027/2028"
"Spain","75-79",2027-08-30,2028-08-27,2161,"2027/2028"
"Spain","80+",2027-08-30,2028-08-27,8475,"2027/2028"
"Sweden","0-2mo",2026-08-31,2027-08-29,1624,"2026/2027"
"Sweden","1-4",2026-08-31,2027-08-29,1406,"2026/2027"
"Sweden","18-59",2026-08-31,2027-08-29,381,"2026/2027"
"Sweden","3-5mo",2026-08-31,2027-08-29,970,"2026/2027"
"Sweden","5-17",2026-08-31,2027-08-29,94,"2026/2027"
"Sweden","6-11mo",2026-08-31,2027-08-29,764,"2026/2027"
"Sweden","60-64",2026-08-31,2027-08-29,189,"2026/2027"
"Sweden","65-69",2026-08-31,2027-08-29,285,"2026/2027"
"Sweden","70-74",2026-08-31,2027-08-29,427,"2026/2027"
"Sweden","75-79",2026-08-31,2027-08-29,635,"2026/2027"
"Sweden","80+",2026-08-31,2027-08-29,1656,"2026/2027"
"Sweden","0-2mo",2027-08-30,2028-08-27,1624,"2027/2028"
"Sweden","1-4",2027-08-30,2028-08-27,1406,"2027/2028"
"Sweden","18-59",2027-08-30,2028-08-27,381,"2027/2028"
"Sweden","3-5mo",2027-08-30,2028-08-27,970,"2027/2028"
"Sweden","5-17",2027-08-30,2028-08-27,94,"2027/2028"
"Sweden","6-11mo",2027-08-30,2028-08-27,764,"2027/2028"
"Sweden","60-64",2027-08-30,2028-08-27,189,"2027/2028"
"Sweden","65-69",2027-08-30,2028-08-27,285,"2027/2028"
"Sweden","70-74",2027-08-30,2028-08-27,427,"2027/2028"
"Sweden","75-79",2027-08-30,2028-08-27,635,"2027/2028"
"Sweden","80+",2027-08-30,2028-08-27,1656,"2027/2028"
